X,Y,Name,description
-102.31998444,31.85246658,KeepTruckin Hotspot - 01234400,"Network ID: 00:25:CA:36:DD:6B
Encryption: WPA2
Time: 2024-10-28T16:44:38.000-07:00
Signal: -87.0
Accuracy: 9.0
Type: WIFI"
-102.33863068,31.83623314,KeepTruckin Hotspot - 01190690,"Network ID: 00:25:CA:38:39:F5
Encryption: WPA2
Time: 2024-10-28T16:41:21.000-07:00
Signal: -82.0
Accuracy: 9.0
Type: WIFI"
-102.32132721,31.85122681,KeepTruckin Hotspot - HB488038,"Network ID: 00:25:CA:6A:74:1D
Encryption: WPA2
Time: 2024-10-28T16:44:26.000-07:00
Signal: -83.0
Accuracy: 9.0
Type: WIFI"
-102.32391357,31.84887695,KeepTruckin Hotspot - QC170688,"Network ID: 00:25:CA:71:31:83
Encryption: WPA2
Time: 2024-10-28T16:44:06.000-07:00
Signal: -87.0
Accuracy: 9.0
Type: WIFI"
-102.31308746,31.87316132,KeepTruckin Hotspot - QC248498,"Network ID: 00:25:CA:78:39:BD
Encryption: WPA2
Time: 2024-11-16T16:50:47.000-08:00
Signal: -88.0
Accuracy: 11.0
Type: WIFI"
-102.32473755,31.84812546,Motive AABL36MD211154,"Network ID: 00:25:CA:9B:AB:AB
Encryption: WPA2
Time: 2024-10-28T16:44:01.000-07:00
Signal: -88.0
Accuracy: 9.0
Type: WIFI"
-102.31607819,31.88268471,13893538 Wifi,"Network ID: 00:25:CA:A0:18:23
Encryption: WPA2
Time: 2024-11-16T16:12:24.000-08:00
Signal: -84.0
Accuracy: 14.0
Type: WIFI"
-102.34361267,31.83622169,(no SSID),"Network ID: 00:25:DF:35:F4:23
Encryption: WPA2
Time: 2024-10-28T16:36:27.000-07:00
Signal: -92.0
Accuracy: 3.0
Type: WIFI"
-102.31941223,31.87233162,tl615a16,"Network ID: 00:25:F0:61:5A:16
Encryption: WPA2
Time: 2024-11-16T15:29:30.000-08:00
Signal: -82.0
Accuracy: 27.0
Type: WIFI"
-102.32608795,31.86860085,tl61d4ce,"Network ID: 00:25:F0:61:D4:CE
Encryption: WPA2
Time: 2024-11-16T17:03:16.000-08:00
Signal: -89.0
Accuracy: 11.0
Type: WIFI"
-102.32210541,31.87681961,tl61e548,"Network ID: 00:25:F0:61:E5:48
Encryption: WPA2
Time: 2024-11-16T16:40:18.000-08:00
Signal: -79.0
Accuracy: 11.0
Type: WIFI"
-102.31459045,31.8795433,tl6334ce,"Network ID: 00:25:F0:63:34:CE
Encryption: WPA2
Time: 2024-11-16T16:20:57.000-08:00
Signal: -75.0
Accuracy: 16.0
Type: WIFI"
-102.3261795,31.86865425,tl636932,"Network ID: 00:25:F0:63:69:32
Encryption: WPA2
Time: 2024-11-16T17:03:21.000-08:00
Signal: -84.0
Accuracy: 10.0
Type: WIFI"
-102.32671356,31.87027359,tl662d10,"Network ID: 00:25:F0:66:2D:10
Encryption: WPA2
Time: 2024-11-16T17:04:44.000-08:00
Signal: -85.0
Accuracy: 17.0
Type: WIFI"
-102.32327271,31.87613106,tl686a14,"Network ID: 00:25:F0:68:6A:14
Encryption: WPA2
Time: 2024-11-16T15:38:16.000-08:00
Signal: -87.0
Accuracy: 11.0
Type: WIFI"
-102.31325531,31.87676239,tl6a8924,"Network ID: 00:25:F0:6A:89:24
Encryption: WPA2
Time: 2024-11-16T16:22:53.000-08:00
Signal: -79.0
Accuracy: 12.0
Type: WIFI"
-102.32329559,31.87472343,tl6a89ba,"Network ID: 00:25:F0:6A:89:BA
Encryption: WPA2
Time: 2024-11-16T15:24:02.000-08:00
Signal: -88.0
Accuracy: 10.0
Type: WIFI"
-102.32645416,31.87488937,tlbadba,"Network ID: 00:25:F0:6A:A3:8A
Encryption: WPA2
Time: 2024-11-16T15:36:50.000-08:00
Signal: -90.0
Accuracy: 12.0
Type: WIFI"
-102.31647491,31.8781662,tl6e3602,"Network ID: 00:25:F0:6E:36:02
Encryption: WPA2
Time: 2024-11-16T16:34:32.000-08:00
Signal: -69.0
Accuracy: 13.0
Type: WIFI"
-102.31346893,31.87669373,tl6f023c,"Network ID: 00:25:F0:6F:02:3C
Encryption: WPA2
Time: 2024-11-16T16:22:57.000-08:00
Signal: -79.0
Accuracy: 12.0
Type: WIFI"
-102.32948303,31.87441826,tl70bb38,"Network ID: 00:25:F0:70:BB:38
Encryption: WPA2
Time: 2024-11-16T17:06:11.000-08:00
Signal: -76.0
Accuracy: 15.0
Type: WIFI"
-102.31832123,31.87307739,tla73210,"Network ID: 00:25:F0:71:5E:A8
Encryption: WPA2
Time: 2024-11-16T16:46:55.000-08:00
Signal: -80.0
Accuracy: 11.0
Type: WIFI"
-102.32136536,31.87093925,tla73210,"Network ID: 00:25:F0:73:E9:D6
Encryption: WPA2
Time: 2024-11-16T15:28:37.000-08:00
Signal: -89.0
Accuracy: 25.0
Type: WIFI"
-102.31728363,31.87501907,tl75a99a,"Network ID: 00:25:F0:75:A9:9A
Encryption: WPA2
Time: 2024-11-16T16:44:44.000-08:00
Signal: -88.0
Accuracy: 13.0
Type: WIFI"
-102.32493591,31.87484741,tla73210,"Network ID: 00:25:F0:75:AA:78
Encryption: WPA2
Time: 2024-11-16T15:34:30.000-08:00
Signal: -82.0
Accuracy: 17.0
Type: WIFI"
-102.31586456,31.87906837,tl777e36,"Network ID: 00:25:F0:77:7E:36
Encryption: WPA2
Time: 2024-11-16T16:27:06.000-08:00
Signal: -85.0
Accuracy: 39.0
Type: WIFI"
-102.32327271,31.87613106,tla73210,"Network ID: 00:25:F0:77:B0:70
Encryption: WPA2
Time: 2024-11-16T15:38:16.000-08:00
Signal: -76.0
Accuracy: 11.0
Type: WIFI"
-102.32601166,31.87287521,tl790b76,"Network ID: 00:25:F0:79:0B:76
Encryption: WPA2
Time: 2024-11-16T17:07:36.000-08:00
Signal: -84.0
Accuracy: 10.0
Type: WIFI"
-102.32497406,31.8734417,tl798e06,"Network ID: 00:25:F0:79:8E:06
Encryption: WPA2
Time: 2024-11-16T15:23:36.000-08:00
Signal: -87.0
Accuracy: 31.0
Type: WIFI"
-102.32333374,31.87342072,tla73210,"Network ID: 00:25:F0:7A:B6:CA
Encryption: WPA2
Time: 2024-11-16T15:26:20.000-08:00
Signal: -88.0
Accuracy: 32.0
Type: WIFI"
-102.32284546,31.87396431,tla73210,"Network ID: 00:25:F0:7A:C3:BE
Encryption: WPA2
Time: 2024-11-16T15:25:05.000-08:00
Signal: -88.0
Accuracy: 50.0
Type: WIFI"
-102.32269287,31.87454224,tla631cc,"Network ID: 00:25:F0:A6:31:CC
Encryption: WPA2
Time: 2024-11-16T15:24:35.000-08:00
Signal: -84.0
Accuracy: 20.0
Type: WIFI"
-102.32379913,31.87172508,tla900d8,"Network ID: 00:25:F0:A9:00:D8
Encryption: WPA2
Time: 2024-11-16T15:31:19.000-08:00
Signal: -75.0
Accuracy: 14.0
Type: WIFI"
-102.32566071,31.87081528,tla9ee6e,"Network ID: 00:25:F0:A9:EE:6E
Encryption: WPA2
Time: 2024-11-16T17:10:11.000-08:00
Signal: -90.0
Accuracy: 11.0
Type: WIFI"
-102.31697845,31.87414932,tlab8a9e,"Network ID: 00:25:F0:AB:8A:9E
Encryption: WPA2
Time: 2024-11-16T16:45:05.000-08:00
Signal: -70.0
Accuracy: 12.0
Type: WIFI"
-102.32339478,31.88038445,tlac4e00,"Network ID: 00:25:F0:AC:4E:00
Encryption: WPA2
Time: 2024-11-16T15:54:52.000-08:00
Signal: -84.0
Accuracy: 22.0
Type: WIFI"
-102.32596588,31.8692894,tlac6426,"Network ID: 00:25:F0:AC:64:26
Encryption: WPA2
Time: 2024-11-16T17:04:16.000-08:00
Signal: -84.0
Accuracy: 11.0
Type: WIFI"
-102.32099915,31.87232208,tlad8ece,"Network ID: 00:25:F0:AD:8E:CE
Encryption: WPA2
Time: 2024-11-16T15:30:22.000-08:00
Signal: -82.0
Accuracy: 17.0
Type: WIFI"
-102.32426453,31.8707943,tladba44,"Network ID: 00:25:F0:AD:BA:44
Encryption: WPA2
Time: 2024-11-16T17:11:24.000-08:00
Signal: -72.0
Accuracy: 25.0
Type: WIFI"
-102.32424927,31.87529373,tladebc6,"Network ID: 00:25:F0:AD:EB:C6
Encryption: WPA2
Time: 2024-11-16T15:34:22.000-08:00
Signal: -83.0
Accuracy: 18.0
Type: WIFI"
-102.32730865,31.8457756,tlbadba,"Network ID: 00:25:F0:AE:FA:B8
Encryption: WPA2
Time: 2024-10-28T16:43:46.000-07:00
Signal: -76.0
Accuracy: 9.0
Type: WIFI"
-102.31328583,31.87931824,tlaff9c8,"Network ID: 00:25:F0:AF:F9:C8
Encryption: WPA2
Time: 2024-11-16T16:17:54.000-08:00
Signal: -83.0
Accuracy: 11.0
Type: WIFI"
-102.34461975,31.83607864,SYNC_YU7G028R,"Network ID: 00:26:B4:BF:97:14
Encryption: WPA2
Time: 2024-10-28T16:39:14.000-07:00
Signal: -66.0
Accuracy: 3.0
Type: WIFI"
-102.2934494,31.94314766,rmvs-1215032,"Network ID: 00:30:44:2A:F6:AA
Encryption: WPA2
Time: 2024-11-16T12:42:03.000-08:00
Signal: -88.0
Accuracy: 11.0
Type: WIFI"
-102.34361267,31.83620262,ticketmaster,"Network ID: 00:30:44:36:84:5E
Encryption: WPA2
Time: 2024-10-28T16:32:49.000-07:00
Signal: -87.0
Accuracy: 3.0
Type: WIFI"
-102.34361267,31.83622742,3944_5G,"Network ID: 00:30:44:36:84:5F
Encryption: WPA2
Time: 2024-10-28T16:36:57.000-07:00
Signal: -93.0
Accuracy: 3.0
Type: WIFI"
-102.31629181,31.88184738,Sparklight-Backup,"Network ID: 00:30:44:5C:EC:2F
Encryption: WPA2
Time: 2024-11-16T16:12:03.000-08:00
Signal: -85.0
Accuracy: 7.0
Type: WIFI"
-102.313591,31.8831749,0945T,"Network ID: 00:30:44:87:59:9A
Encryption: Unknown
Time: 2024-11-16T16:16:57.000-08:00
Signal: -70.0
Accuracy: 10.0
Type: WIFI"
-102.32784271,31.87528229,HotspotD77E,"Network ID: 00:54:AF:19:D7:7E
Encryption: WPA2
Time: 2024-11-16T15:42:55.000-08:00
Signal: -80.0
Accuracy: 14.0
Type: WIFI"
-102.32559967,31.87226486,Hotspot717D,"Network ID: 00:54:AF:20:71:7D
Encryption: WPA2
Time: 2024-11-16T17:08:58.000-08:00
Signal: -79.0
Accuracy: 13.0
Type: WIFI"
-102.31943512,31.8788929,Hotspot25C8,"Network ID: 00:54:AF:23:25:C8
Encryption: WPA2
Time: 2024-11-16T16:38:25.000-08:00
Signal: -85.0
Accuracy: 11.0
Type: WIFI"
-102.34361267,31.83620262,Hotspot6789,"Network ID: 00:54:AF:27:67:89
Encryption: WPA2
Time: 2024-10-28T16:32:49.000-07:00
Signal: -71.0
Accuracy: 4.0
Type: WIFI"
-102.313591,31.8831749,HotspotBF45,"Network ID: 00:54:AF:27:BF:45
Encryption: WPA2
Time: 2024-11-16T16:16:57.000-08:00
Signal: -86.0
Accuracy: 11.0
Type: WIFI"
-102.314888,31.88290977,Hotspot9707,"Network ID: 00:54:AF:2E:97:07
Encryption: WPA2
Time: 2024-11-16T16:16:40.000-08:00
Signal: -85.0
Accuracy: 10.0
Type: WIFI"
-102.33013153,31.87508202,Hotspot3ED9,"Network ID: 00:54:AF:35:3E:D9
Encryption: WPA2
Time: 2024-11-16T17:06:27.000-08:00
Signal: -89.0
Accuracy: 12.0
Type: WIFI"
-102.31975555,31.88147736,HotspotC42B,"Network ID: 00:54:AF:39:C4:2B
Encryption: WPA2
Time: 2024-11-16T16:06:08.000-08:00
Signal: -83.0
Accuracy: 24.0
Type: WIFI"
-102.32511902,31.87072563,Hotspot81BB,"Network ID: 00:54:AF:3E:81:BB
Encryption: WPA2
Time: 2024-11-16T17:09:42.000-08:00
Signal: -84.0
Accuracy: 12.0
Type: WIFI"
-102.32826233,31.87675858,Hotspot3CE2,"Network ID: 00:54:AF:5E:3C:E2
Encryption: WPA2
Time: 2024-11-16T15:22:39.000-08:00
Signal: -76.0
Accuracy: 31.0
Type: WIFI"
-102.313591,31.8831749,HotspotA988,"Network ID: 00:54:AF:69:A9:88
Encryption: WPA2
Time: 2024-11-16T16:16:57.000-08:00
Signal: -75.0
Accuracy: 10.0
Type: WIFI"
-102.34014893,31.83526802,Hotspot0B8C,"Network ID: 00:54:AF:6C:0B:8C
Encryption: WPA2
Time: 2024-10-28T16:41:05.000-07:00
Signal: -82.0
Accuracy: 9.0
Type: WIFI"
-102.33769226,31.83666229,Hotspot42A2,"Network ID: 00:54:AF:7F:42:A2
Encryption: WPA2
Time: 2024-10-28T16:42:27.000-07:00
Signal: -86.0
Accuracy: 9.0
Type: WIFI"
-102.33631134,31.83780861,Hotspot74D5,"Network ID: 00:54:AF:86:74:D5
Encryption: WPA2
Time: 2024-10-28T16:42:39.000-07:00
Signal: -88.0
Accuracy: 9.0
Type: WIFI"
-102.31713104,31.87135124,Hotspot7CB4,"Network ID: 00:54:AF:8D:7C:B4
Encryption: WPA2
Time: 2024-11-16T16:46:01.000-08:00
Signal: -77.0
Accuracy: 11.0
Type: WIFI"
-102.32015991,31.88157272,HotspotC5F3,"Network ID: 00:54:AF:95:C5:F3
Encryption: WPA2
Time: 2024-11-16T16:06:16.000-08:00
Signal: -77.0
Accuracy: 24.0
Type: WIFI"
-102.3263092,31.88025475,Hotspot8048,"Network ID: 00:54:AF:9E:80:48
Encryption: WPA2
Time: 2024-11-16T17:15:55.000-08:00
Signal: -82.0
Accuracy: 9.0
Type: WIFI"
-102.3282547,31.87676048,HotspotD7FB,"Network ID: 00:54:AF:A2:D7:FB
Encryption: WPA2
Time: 2024-11-16T15:18:35.000-08:00
Signal: -81.0
Accuracy: 19.0
Type: WIFI"
-102.31703186,31.87123489,Hotspot111C,"Network ID: 00:54:AF:A6:11:1C
Encryption: WPA2
Time: 2024-11-16T16:46:05.000-08:00
Signal: -87.0
Accuracy: 11.0
Type: WIFI"
-102.34449005,31.83607864,Hotspot9C98,"Network ID: 00:54:AF:A9:9C:98
Encryption: WPA2
Time: 2024-10-28T16:39:02.000-07:00
Signal: -79.0
Accuracy: 3.0
Type: WIFI"
-102.31879425,31.85984802,Hotspot3CE5,"Network ID: 00:54:AF:B0:3C:E5
Encryption: WPA2
Time: 2024-10-28T16:47:05.000-07:00
Signal: -85.0
Accuracy: 9.0
Type: WIFI"
-102.32218933,31.86962128,Hotspot05E6,"Network ID: 00:54:AF:B8:05:E6
Encryption: WPA2
Time: 2024-11-16T16:59:06.000-08:00
Signal: -88.0
Accuracy: 11.0
Type: WIFI"
-102.31600952,31.88260078,Hotspot5E02,"Network ID: 00:54:AF:C1:5E:02
Encryption: WPA2
Time: 2024-11-16T16:12:28.000-08:00
Signal: -68.0
Accuracy: 13.0
Type: WIFI"
-102.31785583,31.87064934,Hotspot6CEC,"Network ID: 00:54:AF:CB:6C:EC
Encryption: WPA2
Time: 2024-11-16T16:53:45.000-08:00
Signal: -80.0
Accuracy: 11.0
Type: WIFI"
-102.32095337,31.85156631,HotspotEFE8,"Network ID: 00:54:AF:D2:EF:E8
Encryption: WPA2
Time: 2024-10-28T16:44:29.000-07:00
Signal: -74.0
Accuracy: 9.0
Type: WIFI"
-102.32593536,31.84703064,Hotspot1FDA,"Network ID: 00:54:AF:D6:1F:DA
Encryption: WPA2
Time: 2024-10-28T16:43:54.000-07:00
Signal: -82.0
Accuracy: 9.0
Type: WIFI"
-102.31328583,31.88272285,Hotspot1AD1,"Network ID: 00:54:AF:D9:1A:D1
Encryption: WPA2
Time: 2024-11-16T16:14:36.000-08:00
Signal: -75.0
Accuracy: 10.0
Type: WIFI"
-102.34014893,31.83526802,Hotspot5399,"Network ID: 00:54:AF:E1:53:99
Encryption: WPA2
Time: 2024-10-28T16:41:05.000-07:00
Signal: -87.0
Accuracy: 9.0
Type: WIFI"
-102.3282547,31.87676239,HotspotAF69,"Network ID: 00:54:AF:E2:AF:69
Encryption: WPA2
Time: 2024-11-16T15:19:11.000-08:00
Signal: -65.0
Accuracy: 45.0
Type: WIFI"
-102.32287598,31.85841942,DEEZ,"Network ID: 00:54:AF:E7:3B:BB
Encryption: WPA2
Time: 2024-10-28T16:45:38.000-07:00
Signal: -84.0
Accuracy: 9.0
Type: WIFI"
-102.34361267,31.83621979,jraft,"Network ID: 00:54:AF:E8:79:EA
Encryption: WPA2
Time: 2024-10-28T16:33:21.000-07:00
Signal: -85.0
Accuracy: 3.0
Type: WIFI"
-102.32901764,31.87741089,Hotspot82AB,"Network ID: 00:54:AF:FC:82:AB
Encryption: WPA2
Time: 2024-11-16T15:17:24.000-08:00
Signal: -80.0
Accuracy: 27.0
Type: WIFI"
-102.31699371,31.8711586,HotspotEDA0,"Network ID: 00:54:AF:FE:ED:A0
Encryption: WPA2
Time: 2024-11-16T16:46:19.000-08:00
Signal: -81.0
Accuracy: 11.0
Type: WIFI"
-102.34361267,31.83620453,WiFi Hotspot 7417,"Network ID: 00:6F:F2:30:44:2E
Encryption: WPA2
Time: 2024-10-28T16:32:47.000-07:00
Signal: -84.0
Accuracy: 4.0
Type: WIFI"
-102.3216629,31.86889458,myChevrolet4979,"Network ID: 00:92:A5:D4:A8:FD
Encryption: WPA2
Time: 2024-11-16T16:59:22.000-08:00
Signal: -80.0
Accuracy: 11.0
Type: WIFI"
-102.34361267,31.83622932,Kia_B2qP,"Network ID: 00:92:A5:DD:DE:31
Encryption: WPA2
Time: 2024-10-28T16:38:00.000-07:00
Signal: -91.0
Accuracy: 9.0
Type: WIFI"
-102.32100677,31.87653923,illhave,"Network ID: 00:92:A5:EC:0A:27
Encryption: WPA2
Time: 2024-11-16T16:43:07.000-08:00
Signal: -84.0
Accuracy: 12.0
Type: WIFI"
-102.32048035,31.87617493,illhave,"Network ID: 00:92:A5:EC:0A:29
Encryption: WPA2
Time: 2024-11-16T16:43:15.000-08:00
Signal: -79.0
Accuracy: 11.0
Type: WIFI"
-102.29350281,31.94308281,Rita2024,"Network ID: 00:92:A5:F3:CD:11
Encryption: WPA2
Time: 2024-11-16T13:03:44.000-08:00
Signal: -86.0
Accuracy: 11.0
Type: WIFI"
-102.32348633,31.87710571,NewThermostat_3C2CF9,"Network ID: 00:D0:2D:3C:2C:F9
Encryption: Unknown
Time: 2024-11-16T15:38:32.000-08:00
Signal: -78.0
Accuracy: 11.0
Type: WIFI"
-102.31703186,31.8711853,iPhone,"Network ID: 02:06:6A:4D:82:07
Encryption: WPA2
Time: 2024-11-16T16:46:23.000-08:00
Signal: -85.0
Accuracy: 10.0
Type: WIFI"
-102.313591,31.8831749,CarAP_4VC9H,"Network ID: 02:08:22:4A:1E:FC
Encryption: WPA2
Time: 2024-11-16T16:16:57.000-08:00
Signal: -87.0
Accuracy: 11.0
Type: WIFI"
-102.32301331,31.87951279,BK1D04C-0B3C7CBBC663-F908EA,"Network ID: 02:12:34:B6:93:BB
Encryption: Unknown
Time: 2024-11-16T15:57:25.000-08:00
Signal: -78.0
Accuracy: 39.0
Type: WIFI"
-102.32175446,31.88036537,EarthLink4575,"Network ID: 02:13:D3:DF:92:FD
Encryption: WPA2
Time: 2024-11-16T15:58:30.000-08:00
Signal: -75.0
Accuracy: 26.0
Type: WIFI"
